calling,calories,heart_monitor,image,period_tracking,price,rating,sleep_tracking,step_counter,title,waterproof,amoled,bluetooth,sports_modes,touchscreen,brand,display_size,battery_days
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/s/r/f/46-482-m1-android-ios-cellecor-yes-original-imah8xzyght5fbbz.jpeg?q=70,0,799,1.8,0,0,"cellecor stew 1.83"" bt calling, 500 nits, ai voice assi...",0,0,0,0,0,0,1.8,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/p/f/h/-original-imahauh2v6xxwcfg.jpeg?q=70,0,1299,1.8,0,0,"fire-boltt rise luxe bluetooth calling 47mm (1.85), met...",0,0,1,0,0,3,47.0,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/g/s/a/39-h9-silver-metal-69-a-android-ios-gamesir-yes-original-imahkyyaz8pfkwts.jpeg?q=70,0,1154,2.0,0,0,"gamesir h9 silver full screen touch watch, bluetooth ca...",0,0,1,0,1,0,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/1/o/z/37-084-wrb-sw-evolve4-std-blk-nblk-android-ios-noise-yes-original-imahg5uuh4mzg9rh.jpeg?q=70,0,2999,1.4,0,0,noise evolve 4 1.46 amoled always on display with premi...,0,1,0,0,0,1,1.8,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/f/b/a/-original-imahcf2dygqxhddh.jpeg?q=70,0,1099,5.3,0,0,fire-boltt talk 35.3mm (1.39) bluetooth calling with sp...,0,0,1,0,0,3,35.3,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/w/f/x/-original-imahgw9qvdt8gjgg.jpeg?q=70,0,1499,0.0,0,0,fire-boltt onyx smartwatch,0,0,0,0,0,3,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/x/y/n/51-054-m6-android-ios-cellecor-yes-original-imah8g4gqw7tfvbz.jpeg?q=70,0,999,2.0,0,0,"cellecor twist 2.01"" curved hd display | 800 nits| aod|...",0,0,0,0,0,0,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/u/g/u/48-514-m4-android-ios-cellecor-yes-original-imah5wrkwczzz6gv.jpeg?q=70,0,799,1.9,0,0,"cellecor m4 rush 1.91"" hd display | 600 nits | bt-calli...",0,0,0,0,0,0,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/m/0/h/-original-imahhbyfgfr56uc6.jpeg?q=70,0,1699,2.0,0,0,"boat wave sigma 3 curv, 2.01"" immersive curved display,...",0,0,0,0,0,2,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/2/1/b/49-t800-silver-dial-silver-metal-strap-android-ios-qamanta-yes-original-imahgdr9t77jzfgg.jpeg?q=70,0,880,0.0,0,0,gamesir t800 ultra metal silver smartwatch with bluetoo...,0,0,0,0,0,0,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/o/o/i/-original-imahgqzbjfwvyat3.jpeg?q=70,0,1499,1.9,0,0,"goboult tuff rivet 1.9'' hd display, working crown , qu...",0,0,0,0,0,0,1.8,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/9/j/1/-original-imagx8nhebmyh8yu.jpeg?q=70,0,1499,1.3,0,0,fastrack revoltt xr1-1.38|bt calling|fast charge|100+ s...,0,0,0,0,0,4,1.8,7
